Governador,Capital,Gentílico,Área Territorial,População residente,Densidade demográfica,Matrículas no ensino fundamental,IDH Índice de desenvolvimento humano,Total de receitas brutas realizadas,Total de despesas brutas empenhadas,Rendimento mensal domiciliar per capita,Total de veículos,UF
GLADSON DE LIMA CAMELI   [2023],Rio Branco   [2010],acriano,"164.173,525 km²   [2023]",830.018 pessoas   [2022],"5,06 hab/km²   [2022]",147.350 matrículas   [2023],"0,71   [2021]","11.137.410.342,21 R$   [2023]","10.302.403.420,85 R$   [2023]",1.095 R$   [2023],350.273 veículos   [2023],AC
PAULO SURUAGY DO AMARAL DANTAS   [2023],Maceió   [2010],alagoano,"27.830,661 km²   [2023]",3.127.683 pessoas   [2022],"112,38 hab/km²   [2022]",439.014 matrículas   [2023],"0,684   [2021]","20.927.817.222,51 R$   [2023]","17.963.587.096,92 R$   [2023]",1.110 R$   [2023],1.095.144 veículos   [2023],AL
CLÉCIO LUÍS VILHENA VIEIRA   [2023],Macapá   [2010],amapaense,"142.470,762 km²   [2023]",733.759 pessoas   [2022],"5,15 hab/km²   [2022]",131.948 matrículas   [2023],"0,688   [2021]","11.249.572.238,02 R$   [2023]","8.505.172.844,49 R$   [2023]",1.520 R$   [2023],242.574 veículos   [2023],AP
WILSON MIRANDA LIMA   [2023],Manaus   [2010],amazonense,"1.559.256,365 km²   [2023]",3.941.613 pessoas   [2022],"2,53 hab/km²   [2022]",692.623 matrículas   [2023],"0,7   [2021]","33.030.751.885,07 R$   [2023]","30.029.370.828,75 R$   [2023]",1.172 R$   [2023],1.130.055 veículos   [2023],AM
JERÔNIMO RODRIGUES SOUZA   [2023],Salvador   [2010],baiano,"564.760,429 km²   [2023]",14.141.626 pessoas   [2022],"25,04 hab/km²   [2022]",1.865.574 matrículas   [2023],"0,691   [2021]","80.290.524.858,16 R$   [2023]","77.868.037.416,52 R$   [2023]",1.139 R$   [2023],5.120.353 veículos   [2023],BA
ELMANO DE FREITAS DA COSTA   [2023],Fortaleza   [2010],cearense,"148.894,447 km²   [2023]",8.794.957 pessoas   [2022],"59,07 hab/km²   [2022]",1.134.636 matrículas   [2023],"0,734   [2021]","46.124.793.433,02 R$   [2023]","37.423.640.356,93 R$   [2023]",1.166 R$   [2023],3.753.826 veículos   [2023],CE
IBANEIS ROCHA BARROS JÚNIOR   [2023],Brasília   [2010],brasiliense,"5.760,783 km²   [2023]",2.817.381 pessoas   [2022],"489,06 hab/km²   [2022]",361.438 matrículas   [2023],"0,814   [2021]","36.479.338.564,35 R$   [2023]","33.897.143.557,68 R$   [2023]",3.357 R$   [2023],2.083.081 veículos   [2023],DF
JOSÉ RENATO CASAGRANDE   [2023],Vitória   [2010],capixaba ou espírito-santense,"46.074,448 km²   [2023]",3.833.712 pessoas   [2022],"83,21 hab/km²   [2022]",498.357 matrículas   [2023],"0,771   [2021]","34.291.544.903,51 R$   [2023]","25.098.719.258,87 R$   [2023]",1.915 R$   [2023],2.357.061 veículos   [2023],ES
RONALDO RAMOS CAIADO   [2023],Goiânia   [2010],goiano,"340.242,860 km²   [2023]",7.056.495 pessoas   [2022],"20,74 hab/km²   [2022]",868.222 matrículas   [2023],"0,737   [2021]","57.825.598.739,32 R$   [2023]","39.420.594.475,73 R$   [2023]",2.017 R$   [2023],4.726.950 veículos   [2023],GO
CARLOS ORLEANS BRANDÃO JÚNIOR   [2023],São Luís   [2010],maranhense,"329.651,495 km²   [2023]",6.776.699 pessoas   [2022],"20,56 hab/km²   [2022]",1.045.700 matrículas   [2023],"0,676   [2021]","31.379.701.580,17 R$   [2023]","24.496.014.978,83 R$   [2023]",945 R$   [2023],2.132.527 veículos   [2023],MA
MAURO MENDES FERREIRA   [2023],Cuiabá   [2010],mato-grossense,"903.208,362 km²   [2023]",3.658.649 pessoas   [2022],"4,05 hab/km²   [2022]",507.089 matrículas   [2023],"0,736   [2021]","54.372.352.372,25 R$   [2023]","37.014.020.738,27 R$   [2023]",1.991 R$   [2023],2.695.548 veículos   [2023],MT
EDUARDO CORREA RIEDEL   [2023],Campo Grande   [2010],sul-mato-grossense ou mato-grossense-do-sul,"357.142,010 km²   [2023]",2.757.013 pessoas   [2022],"7,72 hab/km²   [2022]",393.616 matrículas   [2023],"0,742   [2021]","33.155.489.102,00 R$   [2023]","24.358.822.183,06 R$   [2023]",2.030 R$   [2023],1.893.634 veículos   [2023],MS
